Serial Number, Wavelength,Intensity,Absorbance,Reflectance
6100024,901.369481389433,41123,0.2365185,0.5800714
6100024,905.2500597840384,45876,0.2404391,0.5748584
6100024,909.1264146998071,50091,0.237688,0.5785115
6100024,912.9985461367394,54096,0.2379158,0.5782081
6100024,916.8664540948351,58520,0.239709,0.5758256
6100024,922.0170948496615,66305,0.238804,0.5770268
6100024,925.8751480238053,73065,0.24192,0.5729015
6100024,929.7289777191128,81585,0.2403599,0.5749633
6100024,933.5785839355835,90915,0.2391796,0.576528
6100024,937.4239666732178,100616,0.2365148,0.5800765
6100024,941.2651259320156,109458,0.2351528,0.5818984
6100024,945.1020617119768,117415,0.2330163,0.5847681
6100024,948.9347740131016,124654,0.2313849,0.5869689
6100024,954.0384872253001,133633,0.2280121,0.5915451
6100024,957.861344742473,139688,0.2267488,0.5932683
6100024,961.6799787808093,145273,0.2261313,0.5941126
6100024,965.4943893403092,150789,0.2248349,0.5958886
6100024,969.3045764209725,155972,0.2238933,0.597182
6100024,973.1105400227992,160757,0.2234209,0.5978319
6100024,976.9122801457895,164762,0.2238411,0.5972537
6100024,980.7097967899433,169292,0.2216296,0.6003028
6100024,985.7665824595136,173170,0.2222989,0.5993783
6100024,989.5542443197156,176099,0.2210055,0.6011661
6100024,993.337682701081,178492,0.2198416,0.6027793
6100024,997.1168976036098,180180,0.219309,0.603519
6100024,1000.891889027302,181299,0.2190616,0.603863
6100024,1004.662656972158,182153,0.2185599,0.6045609
6100024,1008.429201438177,182388,0.2183429,0.6048631
6100024,1012.19152242536,182026,0.218635,0.6044564
6100024,1017.201380552302,181391,0.2186155,0.6044835
6100024,1020.953846755533,180535,0.2186694,0.6044085
6100024,1024.702089479928,180107,0.2170182,0.606711
6100024,1028.446108725486,178572,0.2180087,0.6053288
6100024,1032.185904492207,177022,0.2186328,0.6044595
6100024,1035.921476780092,175287,0.2193067,0.6035222
6100024,1039.65282558914,174389,0.2179518,0.6054081
6100024,1043.379950919352,172760,0.2187618,0.6042799
6100024,1048.342881503666,170527,0.2195112,0.6032382
6100024,1052.060152049926,169435,0.2195764,0.6031476
6100024,1055.77319911735,168127,0.2204459,0.6019412
6100024,1059.482022705937,167115,0.2205839,0.60175
6100024,1063.186622815687,166166,0.2218232,0.6000354
6100024,1066.886999446601,165175,0.2239832,0.5970584
6100024,1070.583152598678,164893,0.2243971,0.5964897
6100024,1074.275082271919,165034,0.2248483,0.5958702
6100024,1077.962788466323,164805,0.2254968,0.5949811
6100024,1082.873160202894,165263,0.2265373,0.5935574
6100024,1086.551011613347,165980,0.2268044,0.5931925
6100024,1090.224639544962,166119,0.2279747,0.5915961
6100024,1093.894043997742,166894,0.228444,0.5909572
6100024,1097.559224971685,167858,0.2288302,0.5904318
6100024,1101.220182466791,168415,0.2299913,0.5888554
6100024,1104.876916483061,169550,0.229716,0.5892288
6100024,1108.529427020494,170517,0.2300459,0.5887815
6100024,1113.392871214437,171319,0.2313438,0.5870245
6100024,1117.035526967919,172150,0.2317869,0.5864258
6100024,1120.673959242564,172397,0.2332496,0.5844541
6100024,1124.308168038372,172796,0.2339766,0.5834765
6100024,1127.938153355344,172969,0.2359214,0.5808695
6100024,1131.563915193479,173085,0.2374844,0.5787828
6100024,1135.185453552778,174525,0.2360085,0.580753
6100024,1138.80276843324,175771,0.2348325,0.5823278
6100024,1143.619285084555,177691,0.2327865,0.5850776
6100024,1147.226745181066,179339,0.2309283,0.5875864
6100024,1150.82998179874,179933,0.2316072,0.5866686
6100024,1154.428994937577,180408,0.2322907,0.585746
6100024,1158.023784597578,181681,0.2314045,0.5869425
6100024,1161.614350778742,182648,0.2311259,0.587319
6100024,1165.20069348107,183100,0.2324979,0.5854666
6100024,1168.782812704562,183565,0.2333624,0.5843023
6100024,1173.552401813249,185284,0.2330624,0.5847061
6100024,1177.124666252788,186381,0.233887,0.5835969
6100024,1180.692707213491,188013,0.2331254,0.5846212
6100024,1184.256524695358,189227,0.234653,0.5825685
6100024,1187.816118698388,190960,0.2357609,0.5810843
6100024,1191.371489222581,192651,0.237023,0.579398
6100024,1194.922636267938,194802,0.2377838,0.5783839
6100024,1198.469559834458,196728,0.2389774,0.5767965
6100024,1203.192221400517,200018,0.2397395,0.5757852
6100024,1206.729290183086,201936,0.2414202,0.5735613
6100024,1210.262135486817,204477,0.242042,0.5727406
6100024,1213.790757311713,206771,0.2428721,0.571647
6100024,1217.315155657772,209208,0.2439102,0.5702822
6100024,1220.835330524994,211688,0.2445571,0.5694334
6100024,1224.35128191338,214505,0.2444775,0.5695378
6100024,1227.86300982293,217549,0.2439739,0.5701986
6100024,1232.538743846361,221908,0.2427908,0.571754
6100024,1236.040616971958,224215,0.2432436,0.5711582
6100024,1239.538266618719,226855,0.2421924,0.5725423
6100024,1243.031692786643,229008,0.2411233,0.5739534
6100024,1246.520895475731,230829,0.2413061,0.573712
6100024,1250.005874685983,233343,0.2411245,0.5739518
6100024,1253.486630417398,237015,0.241231,0.5738112
6100024,1256.963162669976,241997,0.2408103,0.5743672
6100024,1261.591969150779,248389,0.240687,0.5745304
6100024,1265.058646619406,252651,0.2403282,0.5750053
6100024,1268.521100609196,257016,0.2398681,0.5756147
6100024,1271.979331120149,260429,0.2402372,0.5751257
6100024,1275.433338152266,264236,0.2396333,0.575926
6100024,1278.883121705547,267574,0.2393828,0.5762582
6100024,1282.32868177999,270397,0.2394237,0.5762041
6100024,1285.770018375598,273032,0.2392147,0.5764815
6100024,1290.351897313773,276844,0.2378002,0.5783621
6100024,1293.783379125428,279048,0.2375015,0.57876
6100024,1297.210637458247,280929,0.2370789,0.5793235
6100024,1300.63367231223,282596,0.2372476,0.5790985
6100024,1304.052483687376,284310,0.2367707,0.5797347
6100024,1307.467071583685,285652,0.2366157,0.5799416
6100024,1310.877436001158,286794,0.2365137,0.5800779
6100024,1314.283576939795,287878,0.2362478,0.5804331
6100024,1318.818528335342,288721,0.2371572,0.579219
6100024,1322.214814490026,289317,0.2369197,0.5795358
6100024,1325.606877165874,289310,0.2377004,0.578495
6100024,1328.994716362886,289674,0.2380513,0.5780278
6100024,1332.378332081061,289508,0.2386658,0.5772105
6100024,1335.757724320399,289103,0.239149,0.5765685
6100024,1339.132893080901,288594,0.2393077,0.576358
6100024,1342.503838362567,287620,0.240546,0.574717
6100024,1345.870560165395,286988,0.2404752,0.5748106
6100024,1350.352952713199,284569,0.2424047,0.5722625
6100024,1353.709819732076,282332,0.2437451,0.5704991
6100024,1357.062463272117,280149,0.2456851,0.5679563
6100024,1360.410883333321,277375,0.2482671,0.5645897
6100024,1363.755079915688,275326,0.2497546,0.5626591
6100024,1367.095053019219,273928,0.2502375,0.5620339
6100024,1370.430802643913,272088,0.2513349,0.5606155
6100024,1373.762328789771,270521,0.2515843,0.5602937
6100024,1378.197793794947,267357,0.2525026,0.5591102
6100024,1381.519465156853,265192,0.252009,0.559746
6100024,1384.836913039923,262122,0.25241,0.5592294
6100024,1388.150137444156,258060,0.2544752,0.5565764
6100024,1391.459138369552,254292,0.2561904,0.5543827
6100024,1394.763915816112,250471,0.2586465,0.5512562
6100024,1398.064469783836,247020,0.2619478,0.5470818
6100024,1401.360800272722,243713,0.2658684,0.5421652
6100024,1405.74933773527,240610,0.2708311,0.5360051
6100024,1409.035813440205,237272,0.2775131,0.5278212
6100024,1412.318065666304,234503,0.2834992,0.520596
6100024,1415.596094413566,231457,0.2900595,0.5127912
6100024,1418.869899681991,228756,0.2962921,0.5054845
6100024,1422.13948147158,225598,0.3034986,0.4971659
6100024,1425.404839782333,223102,0.3094898,0.4903545
6100024,1428.665974614249,220280,0.316381,0.4826352
6100024,1433.007584534169,217822,0.3228092,0.475544
6100024,1436.258864582133,216061,0.3274123,0.4705305
6100024,1439.50592115126,215298,0.3305997,0.4670897
6100024,1442.748754241551,214281,0.3335333,0.4639452
6100024,1445.987363853006,213547,0.3361513,0.4611569
6100024,1449.221749985624,212743,0.3385438,0.4586234
6100024,1452.451912639405,211906,0.3408705,0.4561729
6100024,1455.67785181435,210962,0.3434224,0.4535003
6100024,1459.972534191642,209487,0.3465601,0.4502357
6100024,1463.188618582635,208384,0.3487025,0.4480201
6100024,1466.400479494792,208028,0.3493358,0.4473672
6100024,1469.608116928112,206346,0.3521661,0.4444612
6100024,1472.811530882595,205309,0.3536333,0.4429622
6100024,1476.010721358242,204269,0.3550126,0.4415577
6100024,1479.205688355053,203341,0.3563456,0.4402044
6100024,1482.396431873026,202095,0.357857,0.4386751
6100024,1486.644186707691,201031,0.3583376,0.4381899
6100024,1489.825075441712,200369,0.3583982,0.4381288
6100024,1493.001740696898,200166,0.3573326,0.4392052
6100024,1496.174182473247,199947,0.3559372,0.4406186
6100024,1499.34240077076,199479,0.3551,0.4414688
6100024,1502.506395589436,198958,0.3541653,0.4424199
6100024,1505.666166929275,198092,0.3539193,0.4426706
6100024,1508.821714790278,197991,0.3519029,0.4447307
6100024,1513.022542082314,197907,0.348442,0.4482889
6100024,1516.168235159365,197111,0.3472508,0.4495202
6100024,1519.30970475758,196899,0.3454113,0.4514282
6100024,1522.446950876958,196104,0.3439974,0.4529003
6100024,1525.579973517499,195332,0.342399,0.4545702
6100024,1528.708772679204,194192,0.3415472,0.4554627
6100024,1531.833348362073,193100,0.3404657,0.4565983
6100024,1534.953700566105,191601,0.3400691,0.4570155
6100024,1539.107600315513,189771,0.3388806,0.4582678
6100024,1542.218097735593,188154,0.3385171,0.4586515
6100024,1545.324371676836,186771,0.3372519,0.4599897
6100024,1548.426422139243,185255,0.3357804,0.4615509
6100024,1551.524249122814,183086,0.3359702,0.4613493
6100024,1554.617852627548,181825,0.3338651,0.4635909
6100024,1557.707232653446,180109,0.3327027,0.4648334
6100024,1560.792389200506,178448,0.3308926,0.4667748
6100024,1564.899361407287,175449,0.3299197,0.4678216
6100024,1567.974663170396,173890,0.3273974,0.4705465
6100024,1571.045741454668,171822,0.3261574,0.471892
6100024,1574.112596260104,169011,0.3264494,0.4715748
6100024,1577.175227586704,166849,0.3249193,0.4732392
6100024,1580.233635434467,164282,0.3240694,0.4741662
6100024,1583.287819803393,162584,0.321075,0.4774468
6100024,1586.337780693483,160172,0.319903,0.478737
6100024,1589.383518104737,157719,0.3190187,0.4797128
6100024,1593.437931463774,154946,0.3151433,0.4840126
6100024,1596.473814091075,153016,0.3123891,0.4870918
6100024,1599.50547323954,150996,0.3092764,0.4905956
6100024,1602.532908909169,148936,0.3053157,0.4950902
6100024,1605.556121099961,146731,0.3021104,0.4987576
6100024,1608.575109811916,144098,0.299862,0.5013465
6100024,1611.589875045035,141508,0.2978418,0.503684
6100024,1614.600416799318,138797,0.2961006,0.5057076
6100024,1618.607902615727,135577,0.2923248,0.5101233
6100024,1621.608589586057,132959,0.2908194,0.5118946
6100024,1624.605053077551,130169,0.2895321,0.5134143
6100024,1627.597293090209,127636,0.2872545,0.5161139
6100024,1630.58530962403,124313,0.2878734,0.5153789
6100024,1633.569102679014,120965,0.2885578,0.5145673
6100024,1636.548672255162,117211,0.2904573,0.5123217
6100024,1639.524018352474,112921,0.2948246,0.5071955
6100024,1643.484576626255,105698,0.3062983,0.4939713
6100024,1646.450067939614,99787,0.3185486,0.4802324
6100024,1649.411335774137,93758,0.3309824,0.4666783
6100024,1652.368380129824,87628,0.3443612,0.4525211
6100024,1655.321201006674,81318,0.3589221,0.4376006
6100024,1658.269798404687,75886,0.3686916,0.4278666
6100024,1661.214172323864,71751,0.3686999,0.4278584
6100024,1664.154322764205,68987,0.3560717,0.4404822
6100024,1668.067953495358,65602,0.3268033,0.4711907
6100024,1670.998249151746,62078,0.3036178,0.4970296
6100024,1673.924321329298,57210,0.2819025,0.5225134
6100024,1676.846170028014,51427,0.2630164,0.5457372
6100024,1679.763795247893,45416,0.2474472,0.5656565
6100024,1682.677196988936,39742,0.2323065,0.5857246
6100024,1685.586375251142,34134,0.2275971,0.5921108
6100024,1688.491330034511,29124,0.2257589,0.5946222
6100024,1692.358033223036,24406,0.2092763,0.6176233
6100024,1695.253133222454,20632,0.2168482,0.6069485
6100024,1698.144009743035,17378,0.229675,0.5892845
6100024,1701.030662784779,15018,0.228119,0.5913996
