Serial Number, Wavelength,Intensity,Absorbance,Reflectance
6100024,901.369481389433,20941,0.5296059,0.2953888
6100024,905.2500597840384,23962,0.5225016,0.3002606
6100024,909.1264146998071,25883,0.5244331,0.2989282
6100024,912.9985461367394,28131,0.5218958,0.3006798
6100024,916.8664540948351,30335,0.5250694,0.2984906
6100024,922.0170948496615,33840,0.5309199,0.2944965
6100024,925.8751480238053,37262,0.5343633,0.2921708
6100024,929.7289777191128,41450,0.5344456,0.2921154
6100024,933.5785839355835,46366,0.5316156,0.2940251
6100024,937.4239666732178,50459,0.5362431,0.2909088
6100024,941.2651259320156,54832,0.5353662,0.2914968
6100024,945.1020617119768,58607,0.5347904,0.2918835
6100024,948.9347740131016,61389,0.5390006,0.2890676
6100024,954.0384872253001,64415,0.5449389,0.285142
6100024,957.861344742473,66051,0.5520285,0.2805249
6100024,961.6799787808093,67917,0.5563377,0.2777553
6100024,965.4943893403092,69829,0.5591688,0.2759505
6100024,969.3045764209725,72340,0.5575615,0.2769737
6100024,973.1105400227992,73718,0.5620173,0.2741465
6100024,976.9122801457895,75602,0.5621649,0.2740533
6100024,980.7097967899433,77384,0.5616149,0.2744007
6100024,985.7665824595136,79912,0.5581596,0.2765925
6100024,989.5542443197156,81504,0.5555835,0.2782381
6100024,993.337682701081,82591,0.5545277,0.2789153
6100024,997.1168976036098,83361,0.5540527,0.2792205
6100024,1000.891889027302,84762,0.5492558,0.2823217
6100024,1004.662656972158,85311,0.5479912,0.2831449
6100024,1008.429201438177,85888,0.5454067,0.284835
6100024,1012.19152242536,86749,0.540504,0.2880687
6100024,1017.201380552302,86819,0.5386165,0.2893234
6100024,1020.953846755533,86974,0.5358414,0.291178
6100024,1024.702089479928,86872,0.5336689,0.2926382
6100024,1028.446108725486,86844,0.5310822,0.2943864
6100024,1032.185904492207,86516,0.5295636,0.2954176
6100024,1035.921476780092,86380,0.5266432,0.2974108
6100024,1039.65282558914,85755,0.5262114,0.2977067
6100024,1043.379950919352,85823,0.5226014,0.3001917
6100024,1048.342881503666,84783,0.5229955,0.2999193
6100024,1052.060152049926,84299,0.5227571,0.300084
6100024,1055.77319911735,84035,0.5216232,0.3008686
6100024,1059.482022705937,83432,0.5222667,0.3004231
6100024,1063.186622815687,83454,0.5209181,0.3013574
6100024,1066.886999446601,83277,0.5214025,0.3010215
6100024,1070.583152598678,83058,0.5222179,0.3004569
6100024,1074.275082271919,82908,0.5238253,0.2993468
6100024,1077.962788466323,82976,0.5235147,0.299561
6100024,1082.873160202894,82551,0.5279906,0.2964896
6100024,1086.551011613347,83026,0.527646,0.2967249
6100024,1090.224639544962,83229,0.5281193,0.2964017
6100024,1093.894043997742,83469,0.5293595,0.2955565
6100024,1097.559224971685,84069,0.5291364,0.2957084
6100024,1101.220182466791,83917,0.5325222,0.293412
6100024,1104.876916483061,83948,0.5350035,0.2917404
6100024,1108.529427020494,84689,0.5339866,0.2924243
6100024,1113.392871214437,85099,0.5352249,0.2915917
6100024,1117.035526967919,85488,0.5357887,0.2912133
6100024,1120.673959242564,85436,0.5381384,0.289642
6100024,1124.308168038372,85142,0.5413665,0.2874972
6100024,1127.938153355344,84884,0.5450639,0.2850599
6100024,1131.563915193479,84376,0.5495248,0.2821468
6100024,1135.185453552778,83331,0.5570596,0.277294
6100024,1138.80276843324,81730,0.5673982,0.2707708
6100024,1143.619285084555,79408,0.5825877,0.2614642
6100024,1147.226745181066,77624,0.594607,0.2543273
6100024,1150.82998179874,76092,0.605379,0.2480967
6100024,1154.428994937577,74487,0.616466,0.2418433
6100024,1158.023784597578,73953,0.6217582,0.2389141
6100024,1161.614350778742,72929,0.6298406,0.2345089
6100024,1165.20069348107,72815,0.6329654,0.2328277
6100024,1168.782812704562,72708,0.63557,0.2314355
6100024,1173.552401813249,73285,0.6358852,0.2312676
6100024,1177.124666252788,72845,0.6418889,0.2280925
6100024,1180.692707213491,73698,0.6398576,0.2291619
6100024,1184.256524695358,74140,0.6415835,0.228253
6100024,1187.816118698388,74720,0.6432664,0.2273702
6100024,1191.371489222581,74951,0.6470168,0.2254152
6100024,1194.922636267938,75453,0.6497007,0.2240264
6100024,1198.469559834458,75799,0.6531801,0.2222388
6100024,1203.192221400517,77502,0.6514956,0.2231025
6100024,1206.729290183086,78404,0.6522957,0.2226918
6100024,1210.262135486817,79056,0.6547517,0.2214361
6100024,1213.790757311713,80583,0.6521183,0.2227828
6100024,1217.315155657772,81700,0.6522665,0.2227068
6100024,1220.835330524994,83333,0.6494363,0.2241629
6100024,1224.35128191338,84210,0.6505513,0.2235881
6100024,1227.86300982293,85319,0.6504852,0.2236221
6100024,1232.538743846361,87672,0.6461028,0.2258901
6100024,1236.040616971958,89009,0.6444743,0.2267387
6100024,1239.538266618719,90043,0.6434909,0.2272528
6100024,1243.031692786643,91285,0.6405746,0.2287839
6100024,1246.520895475731,92044,0.640601,0.22877
6100024,1250.005874685983,93510,0.6382613,0.2300058
6100024,1253.486630417398,95327,0.6367909,0.2307858
6100024,1256.963162669976,97236,0.6367933,0.2307846
6100024,1261.591969150779,100450,0.6338695,0.2323435
