Serial Number, Wavelength,Intensity,Absorbance,Reflectance
6100024,901.369481389433,38183,0.2687333,0.5386004
6100024,905.2500597840384,43572,0.2628172,0.5459877
6100024,909.1264146998071,46963,0.2656919,0.5423856
6100024,912.9985461367394,51332,0.2606927,0.548665
6100024,916.8664540948351,55667,0.2614156,0.5477526
6100024,922.0170948496615,62176,0.2667275,0.5410938
6100024,925.8751480238053,68718,0.2685589,0.5388168
6100024,929.7289777191128,76449,0.2685983,0.5387678
6100024,933.5785839355835,85080,0.2679877,0.5395259
6100024,937.4239666732178,93873,0.2666411,0.5412014
6100024,941.2651259320156,102041,0.2656256,0.5424683
6100024,945.1020617119768,109547,0.2631395,0.5455827
6100024,948.9347740131016,116467,0.2608882,0.5484181
6100024,954.0384872253001,124670,0.2581639,0.5518692
6100024,957.861344742473,130200,0.2572969,0.5529719
6100024,961.6799787808093,135246,0.2571917,0.5531059
6100024,965.4943893403092,140216,0.2564071,0.5541061
6100024,969.3045764209725,145302,0.2546683,0.556329
6100024,973.1105400227992,149269,0.2556212,0.5551097
6100024,976.9122801457895,152883,0.256339,0.554193
6100024,980.7097967899433,156666,0.2552913,0.5555315
6100024,985.7665824595136,161004,0.2539349,0.5572692
6100024,989.5542443197156,163015,0.2545348,0.5565
6100024,993.337682701081,164987,0.2540107,0.5571721
6100024,997.1168976036098,166192,0.2544055,0.5566657
6100024,1000.891889027302,167617,0.2531389,0.5582916
6100024,1004.662656972158,168094,0.253444,0.5578995
6100024,1008.429201438177,168231,0.2534331,0.5579135
6100024,1012.19152242536,168070,0.2532783,0.5581125
6100024,1017.201380552302,167647,0.2528355,0.5586818
6100024,1020.953846755533,166876,0.252837,0.5586799
6100024,1024.702089479928,165631,0.2534071,0.5579469
6100024,1028.446108725486,164409,0.2538964,0.5573186
6100024,1032.185904492207,162947,0.2546137,0.556399
6100024,1035.921476780092,161281,0.2554732,0.5552989
6100024,1039.65282558914,160432,0.2541799,0.556955
6100024,1043.379950919352,158990,0.2548352,0.5561152
6100024,1048.342881503666,157226,0.2547799,0.556186
6100024,1052.060152049926,155194,0.2577046,0.552453
6100024,1055.77319911735,154083,0.2583286,0.5516598
6100024,1059.482022705937,152764,0.2595783,0.5500747
6100024,1063.186622815687,152627,0.2587339,0.5511453
6100024,1066.886999446601,151806,0.2606386,0.5487334
6100024,1070.583152598678,151659,0.2607311,0.5486165
6100024,1074.275082271919,151514,0.261969,0.547055
6100024,1077.962788466323,151894,0.2609266,0.5483696
6100024,1082.873160202894,151951,0.2630094,0.5457461
6100024,1086.551011613347,152733,0.2629272,0.5458493
6100024,1090.224639544962,153789,0.2614688,0.5476855
6100024,1093.894043997742,154328,0.2624399,0.5464621
6100024,1097.559224971685,155870,0.2610097,0.5482647
6100024,1101.220182466791,156350,0.2622742,0.5466707
6100024,1104.876916483061,157781,0.2609591,0.5483286
6100024,1108.529427020494,158937,0.2605886,0.5487967
6100024,1113.392871214437,160192,0.2605084,0.5488979
6100024,1117.035526967919,161427,0.2597177,0.5498981
6100024,1120.673959242564,162248,0.2596,0.5500473
6100024,1124.308168038372,162676,0.2601868,0.5493045
6100024,1127.938153355344,164216,0.2584742,0.5514749
6100024,1131.563915193479,164859,0.2586311,0.5512757
6100024,1135.185453552778,165957,0.2578706,0.552242
6100024,1138.80276843324,167156,0.2566577,0.5537864
6100024,1143.619285084555,168685,0.2553755,0.5554239
6100024,1147.226745181066,169279,0.2559999,0.5546258
6100024,1150.82998179874,170261,0.2556028,0.5551332
6100024,1154.428994937577,170785,0.2560968,0.5545021
6100024,1158.023784597578,171333,0.2568729,0.553512
6100024,1161.614350778742,172428,0.256133,0.5544558
6100024,1165.20069348107,172752,0.2577631,0.5523787
6100024,1168.782812704562,174101,0.256351,0.5541776
6100024,1173.552401813249,175168,0.2574455,0.5527827
6100024,1177.124666252788,176305,0.258024,0.5520469
6100024,1180.692707213491,177529,0.2580441,0.5520214
6100024,1184.256524695358,178715,0.2594751,0.5502055
6100024,1187.816118698388,179520,0.2625904,0.5462728
6100024,1191.371489222581,180926,0.2642933,0.5441351
6100024,1194.922636267938,182265,0.266674,0.5411605
6100024,1198.469559834458,183383,0.2694845,0.5376697
6100024,1203.192221400517,185090,0.2734256,0.5328125
6100024,1206.729290183086,186335,0.2763395,0.5292495
6100024,1210.262135486817,187989,0.2785541,0.5265577
6100024,1213.790757311713,189559,0.2806173,0.524062
6100024,1217.315155657772,192015,0.2811534,0.5234156
6100024,1220.835330524994,194642,0.2810167,0.5235803
6100024,1224.35128191338,198354,0.278474,0.5266548
6100024,1227.86300982293,201391,0.2774909,0.5278482
6100024,1232.538743846361,206043,0.2750059,0.5308772
6100024,1236.040616971958,209688,0.2723347,0.5341526
6100024,1239.538266618719,212236,0.2711217,0.5356465
6100024,1243.031692786643,214597,0.2693503,0.5378357
6100024,1246.520895475731,216858,0.268421,0.5389879
6100024,1250.005874685983,219044,0.2685879,0.5387807
6100024,1253.486630417398,222877,0.2679416,0.5395832
6100024,1256.963162669976,227391,0.267847,0.5397007
6100024,1261.591969150779,233211,0.2680704,0.5394232
6100024,1265.058646619406,237711,0.2667999,0.5410035
6100024,1268.521100609196,241740,0.2664798,0.5414025
6100024,1271.979331120149,245390,0.2660697,0.5419139
6100024,1275.433338152266,248481,0.2663321,0.5415866
6100024,1278.883121705547,251437,0.2663975,0.541505
6100024,1282.32868177999,254668,0.2654512,0.5426862
6100024,1285.770018375598,257136,0.2652653,0.5429186
6100024,1290.351897313773,260273,0.2646062,0.5437432
6100024,1293.783379125428,262945,0.2633155,0.5453616
6100024,1297.210637458247,264475,0.2632908,0.5453925
6100024,1300.63367231223,266282,0.2630718,0.5456676
6100024,1304.052483687376,267719,0.2628836,0.5459041
6100024,1307.467071583685,268988,0.2627201,0.5461097
6100024,1310.877436001158,270232,0.262347,0.5465791
6100024,1314.283576939795,271267,0.2620593,0.5469413
6100024,1318.818528335342,272742,0.2618835,0.5471627
6100024,1322.214814490026,273094,0.2619815,0.5470392
6100024,1325.606877165874,273854,0.2615447,0.5475897
6100024,1328.994716362886,273901,0.2623672,0.5465537
6100024,1332.378332081061,274040,0.2625124,0.5463709
6100024,1335.757724320399,273487,0.263265,0.545425
6100024,1339.132893080901,273300,0.2629553,0.545814
6100024,1342.503838362567,272898,0.2633647,0.5452998
6100024,1345.870560165395,272118,0.2635817,0.5450274
6100024,1350.352952713199,270118,0.2650388,0.5432019
6100024,1353.709819732076,268617,0.2653717,0.5427856
6100024,1357.062463272117,267466,0.2658056,0.5422436
6100024,1360.410883333321,265398,0.2674367,0.5402108
6100024,1363.755079915688,263954,0.2680736,0.5394192
6100024,1367.095053019219,262020,0.2695395,0.5376015
6100024,1370.430802643913,260519,0.2702049,0.5367785
6100024,1373.762328789771,258762,0.2708848,0.5359389
6100024,1378.197793794947,256014,0.2713304,0.5353892
6100024,1381.519465156853,253345,0.2718571,0.5347403
6100024,1384.836913039923,249973,0.2730204,0.5333099
6100024,1388.150137444156,246206,0.2748973,0.53101
6100024,1391.459138369552,241640,0.2783543,0.5268
6100024,1394.763915816112,237891,0.2810259,0.5235692
6100024,1398.064469783836,234717,0.2841353,0.519834
6100024,1401.360800272722,232560,0.2862121,0.5173541
6100024,1405.74933773527,229797,0.2908004,0.5119171
6100024,1409.035813440205,227628,0.295534,0.5063677
6100024,1412.318065666304,225382,0.3007283,0.5003474
6100024,1415.596094413566,222744,0.3067238,0.4934876
6100024,1418.869899681991,220119,0.3130071,0.4863992
6100024,1422.13948147158,217974,0.3184292,0.4803644
6100024,1425.404839782333,215535,0.3244755,0.4737231
6100024,1428.665974614249,213749,0.329452,0.4683257
6100024,1433.007584534169,211556,0.3354856,0.4618643
6100024,1436.258864582133,210345,0.3390564,0.4580823
6100024,1439.50592115126,209510,0.3424349,0.4545326
6100024,1442.748754241551,208873,0.3446347,0.4522362
6100024,1445.987363853006,208208,0.3471473,0.4496273
6100024,1449.221749985624,207416,0.3495568,0.4471396
6100024,1452.451912639405,207283,0.3504501,0.4462209
6100024,1455.67785181435,206284,0.3531611,0.4434441
6100024,1459.972534191642,205731,0.3544174,0.4421632
6100024,1463.188618582635,204873,0.3560822,0.4404715
6100024,1466.400479494792,203955,0.3579232,0.4386082
6100024,1469.608116928112,203184,0.3588727,0.4376504
6100024,1472.811530882595,202184,0.3602945,0.4362199
6100024,1476.010721358242,201011,0.3619952,0.434515
6100024,1479.205688355053,199805,0.3639642,0.4325495
6100024,1482.396431873026,199451,0.3635764,0.432936
6100024,1486.644186707691,198185,0.3645299,0.4319864
6100024,1489.825075441712,198012,0.3635373,0.4329749
6100024,1493.001740696898,197136,0.3639569,0.4325567
6100024,1496.174182473247,196862,0.3626902,0.4338203
6100024,1499.34240077076,196297,0.3620835,0.4344267
6100024,1502.506395589436,195717,0.3612982,0.4352129
6100024,1505.666166929275,194947,0.3608697,0.4356426
6100024,1508.821714790278,195165,0.3581464,0.4383829
6100024,1513.022542082314,194358,0.3563007,0.4402499
6100024,1516.168235159365,193842,0.3545138,0.4420651
6100024,1519.30970475758,193241,0.3535555,0.4430416
6100024,1522.446950876958,192171,0.352796,0.443817
6100024,1525.579973517499,190917,0.3523278,0.4442958
6100024,1528.708772679204,190223,0.3505155,0.4461537
6100024,1531.833348362073,189226,0.3492671,0.447438
6100024,1534.953700566105,187480,0.3495119,0.4471859
6100024,1539.107600315513,185467,0.3488438,0.4478743
6100024,1542.218097735593,184455,0.3471402,0.4496347
6100024,1545.324371676836,182698,0.3468275,0.4499585
6100024,1548.426422139243,181415,0.3448771,0.4519838
6100024,1551.524249122814,179248,0.345171,0.4516781
6100024,1554.617852627548,177877,0.3433989,0.4535249
6100024,1557.707232653446,175914,0.3429377,0.4540068
6100024,1560.792389200506,173941,0.3420023,0.4549856
6100024,1564.899361407287,171815,0.3390096,0.4581318
6100024,1567.974663170396,169402,0.3387535,0.458402
6100024,1571.045741454668,167007,0.3385015,0.4586681
6100024,1574.112596260104,164716,0.3376286,0.4595909
6100024,1577.175227586704,162771,0.3356659,0.4616726
6100024,1580.233635434467,160796,0.3333841,0.4641046
6100024,1583.287819803393,158395,0.3324114,0.4651453
6100024,1586.337780693483,155832,0.3318329,0.4657652
6100024,1589.383518104737,153371,0.3311595,0.466488
6100024,1593.437931463774,150670,0.3272969,0.4706555
6100024,1596.473814091075,148695,0.3248296,0.4733369
6100024,1599.50547323954,146396,0.3227126,0.4756499
6100024,1602.532908909169,143944,0.3201218,0.4784959
6100024,1605.556121099961,141592,0.3175936,0.4812895
